Year,BD_159,BD_160,BD_161,BD_162,BD_163,BD_164,BD_165,BD_166,BD_167,BD_168,BH_113,BH_114,BH_115,BH_116,BH_117,BH_118,BH_119,BH_120,BH_121,BH_122,FC_169,FC_170,FC_171,FC_172,FC_173,FC_174,FC_175,FC_176,FC_177,FC_178,HM1_51,HM1_52,HM1_53,HM1_55,HM1_99,HM1_111,HM1_112,HM1_136,HM1_137,HM1_138,HM6_139,HM6_140,HM6_141,HM6_152,HM6_153,HM6_154,HM6_155,HM6_156,HM6_157,HM6_158,LH_45,LH_71,LH_L73,LH_L116,LH_123,LH_188,LH_201,LH_204,LH_221,LH_300,WT1_73,WT1_75,WT1_76,WT1_142,WT1_143,WT1_144,WT1_145,WT1_146,WT1_147,WT1_148,WT2_77,WT2_78,WT2_79,WT2_80,WT2_81,WT2_82,WT2_83,WT2_149,WT2_150,WT2_151
1964,0.513,0.677,0.38,0.4,0.356,0.314,0.407,0.809,0.613,0.434,0.728,0.328,2.178,1.207,0.314,0.464,0.557,0.307,0.466,0.351,,,,,,0.638,,0.554,,,1.369,,,2.361,0.253,1.379,2.018,2.547,0.927,,0.907,0.858,0.694,1.616,,1.762,1.595,0.842,0.812,0.423,0.426,0.433,0.356,1.413,,1.786,2.986,0.954,0.892,0.666,1.582,0.79,1.604,0.654,2.137,0.804,,1.206,1.9,1.313,1.156,1.048,1.741,1.74,,2.952,0.78,1.574,,1.345
1963,0.503,1.786,0.411,0.387,0.437,0.621,0.486,1.06,0.643,0.366,0.88,0.198,1.735,1.033,0.306,0.542,0.584,0.312,0.324,0.359,,,,,,,,0.92,,,0.695,,,1.602,0.099,1.571,0.77,2.116,0.364,,0.612,0.294,0.785,0.886,,0.53,0.774,0.993,0.362,0.502,0.425,0.201,0.322,2.718,,1.097,0.156,0.94,2.198,0.656,1.351,0.209,0.774,0.018,0.633,0.129,,1.185,0.975,0.386,0.213,0.324,0.594,0.627,,1.188,1.823,0.56,,0.319
1962,0.435,1.676,0.493,0.578,0.53,0.496,0.572,2.094,0.897,0.636,1.066,0.239,1.02,1.262,0.183,0.613,0.706,0.283,0.205,0.308,,,,,,,,1.675,,,1.918,,,1.599,0.889,3.273,2.158,2.151,1.269,,1.227,1.015,0.713,2.313,,2.376,2.855,0.714,0.73,1.767,0.977,1.242,0.626,1.342,,2.009,1.303,1.979,2.592,1.671,2.245,1.101,1.757,0.715,1.791,0.623,,1.191,3.522,1.719,2.038,2.082,2.66,0.638,,3.388,2.434,1.49,,1.206
1961,0.494,1.412,0.64,0.461,0.874,0.354,0.492,1.572,0.896,0.541,0.993,0.185,1.37,1.576,0.277,0.653,0.801,0.245,0.283,0.4,,,,,,,,1.455,,,2.532,,,3.921,1.245,4.006,2.853,2.442,1.753,,1.66,1.251,0.701,2.137,,2.605,2.76,0.501,0.562,2.76,1.057,1.609,0.501,1.329,,2.287,1.417,2.096,1.789,1.681,2.026,0.885,2.227,0.637,2.357,1.016,,1.622,3.134,1.932,3.106,2.11,3.559,4.922,,4.916,0.466,2.965,,2.99
1960,0.548,1.327,0.465,0.483,0.585,0.608,0.479,1.288,0.719,0.364,0.922,0.253,,1.413,0.369,0.525,0.826,0.225,0.29,0.276,,,,,,,,1.759,,,2.465,,,2.156,1.338,3.017,2.233,2.09,1.186,,1.363,1.206,0.517,1.194,,1.496,2.517,0.417,0.597,2.35,1.039,1.207,0.667,2.267,,1.472,1.45,1.065,1.709,1.568,1.536,0.828,2.365,0.525,1.535,0.842,,1.919,2.397,1.073,1.884,0.952,2.513,6.905,,3.389,3.308,1.82,,2.032
1959,0.253,1.972,0.564,0.189,0.892,0.491,0.301,0.931,0.475,0.33,0.866,0.231,,1.312,0.155,0.331,0.656,0.24,0.242,0.321,,,,,,,,,,,2.164,,,0.581,0.73,2.401,2.092,2.487,1.358,,1.09,1.033,0.465,1.165,,1.724,3.344,0.685,0.628,2.835,0.651,0.871,0.583,4.298,,1.081,1.695,0.603,2.3,1.134,0.939,0.909,2.269,0.481,1.013,0.517,,2.036,2.035,1.038,1.63,1.001,2.125,,,2.494,4.221,0.986,,1.607
1958,0.302,2.546,0.462,0.515,0.727,0.45,0.376,1.824,0.83,0.593,1.221,0.27,,1.186,0.2,0.515,0.498,0.363,0.237,0.246,,,,,,,,,,,2.547,,,2.038,1.672,2.918,2.81,2.027,1.591,,1.378,1.257,0.818,2.032,,2.326,3.312,0.576,0.797,2.23,0.647,0.847,0.607,3.229,,0.833,1.506,0.912,1.589,0.938,1.68,1.229,2.258,0.498,1.409,0.741,,2.918,2.531,1.017,2.261,1.064,3.332,,,3.03,2.977,1.685,,1.613
1957,0.395,1.449,0.337,0.266,0.619,0.228,0.259,1.757,0.471,0.292,1.174,0.247,,1.027,0.145,0.523,0.666,0.183,0.198,0.273,,,,,,,,,,,3.568,,,1.9,2.496,3.237,2.527,1.774,0.973,,1.333,1.53,0.653,1.427,,2.726,3.993,0.556,0.926,1.264,0.441,0.592,0.648,2.267,,1.264,1.995,0.61,2.625,0.917,1.862,0.987,2.162,0.382,1.424,0.833,,1.7,2.83,0.445,2.649,0.74,2.857,,,2.76,2.041,1.175,,1.311
1956,0.072,1.351,0.577,0.517,0.939,0.563,0.298,1.619,0.448,0.451,1.126,0.208,,1.056,0.085,0.317,0.836,0.23,0.211,0.302,,,,,,,,,,,1.718,,,3.563,1.455,2.34,2.429,1.584,1.153,,1.19,1.216,0.324,0.853,,1.189,2.694,0.515,0.681,1.621,0.357,0.504,0.777,2.325,,1.474,2.691,0.65,1.157,1.015,1.546,1.332,2.533,0.41,1.277,0.685,,3.073,2.773,0.832,1.731,0.718,2.486,,,2.815,2.366,1.464,,1.185
1955,0.475,0.396,0.506,0.38,0.234,0.302,0.335,1.408,0.646,0.4,1.307,0.292,,1.401,0.153,0.673,0.561,0.228,0.257,0.363,,,,,,,,,,,0.789,,,0.403,1.173,2.725,2.208,2.684,1.29,,1.344,1.135,0.827,0.888,,1.195,2.766,0.427,0.804,1.89,0.321,0.315,0.481,1.435,,0.716,1.575,0.358,0.907,0.578,1.327,1.244,3.021,0.701,1.47,0.794,,1.683,2.499,0.748,1.478,0.226,2.007,,,2.368,2.35,0.471,,0.59
