site,year,cones,tree
WT1,2016,0,75
WT1,2017,0,75
WT1,2018,0,75
WT1,2003,0.4,76
WT1,2004,0.142857143,76
WT1,2005,0,76
WT1,2006,1.166666667,76
WT1,2007,0.714285714,76
WT1,2008,0,76
WT1,2009,0.428571429,76
WT1,2010,0.142857143,76
WT1,2011,0.285714286,76
WT1,2012,0.857142857,76
WT1,2013,0,76
WT1,2014,0.428571429,76
WT1,2015,1,76
WT1,2016,0,76
WT1,2017,0.285714286,76
WT1,2018,0,76
WT1,1998,0.25,142
WT1,1999,0,142
WT1,2000,1.2,142
WT1,2001,0,142
WT1,2002,0.8,142
WT1,2003,0.6,142
WT1,2004,0,142
WT1,2005,0.2,142
WT1,2006,1.4,142
WT1,2007,0,142
WT1,2008,0.6,142
WT1,2009,0,142
WT1,2010,0.4,142
WT1,2011,1,142
WT1,2012,0,142
WT1,2013,0,142
WT1,2014,1.8,142
WT1,2015,0.8,142
WT1,2016,0,142
WT1,2017,0,142
WT1,2018,0,142
WT1,2019,2.8,142
WT1,2020,0,142
WT1,2009,0,145
WT1,2010,0,145
WT1,2011,0,145
WT1,2012,0.2,145
WT1,2013,0,145
WT1,2014,1.8,145
WT1,2015,0,145
WT1,2016,0,145
WT1,2017,0.4,145
WT1,2018,0,145
WT1,2019,2.6,145
WT1,2020,0.2,145
WT1,2020,0,73
WT1,2019,0.6,73
WT1,2020,0,75
WT1,2019,0.4,75
WT1,2020,0,76
WT1,2019,2,76
WT2,2003,0.2,77
WT2,2004,0,77
WT2,2005,0,77
WT2,2006,1,77
WT2,2007,1,77
WT2,2008,0.5,77
WT2,2009,1.666666667,77
WT2,2010,0.2,77
WT2,2011,0,77
WT2,2012,0,77
WT2,2013,0,77
WT2,2014,0,77
WT2,2015,0,77
WT2,2016,0.833333333,77
WT2,2017,0.833333333,77
WT2,2018,0,77
WT2,2006,0.6,151
WT2,2007,1,151
WT2,2008,0,151
WT2,2009,1.4,151
WT2,2010,0.4,151
WT2,2011,0,151
WT2,2012,0,151
WT2,2013,0,151
WT2,2014,0,151
WT2,2015,0,151
WT2,2016,1,151
WT2,2017,0.4,151
WT2,2018,0,151
WT2,2019,1.6,151
WT2,2020,0,151
WT2,2003,0,78
WT2,2004,0,78
WT2,2005,0,78
WT2,2006,0.8,78
WT2,2007,0.2,78
WT2,2008,0.166666667,78
WT2,2009,2,78
WT2,2010,0,78
WT2,2011,0,78
WT2,2012,0,78
WT2,2013,0,78
WT2,2014,0,78
WT2,2015,0,78
WT2,2016,2,78
WT2,2017,0,78
WT2,2018,0,78
WT2,2003,0,79
WT2,2004,0,79
WT2,2005,0.428571429,79
WT2,2006,2.166666667,79
WT2,2007,0.333333333,79
WT2,2008,0.428571429,79
WT2,2009,2.5,79
WT2,2010,0,79
WT2,2011,0,79
WT2,2012,0,79
WT2,2013,0,79
WT2,2014,0,79
WT2,2015,0,79
WT2,2016,1.428571429,79
WT2,2017,1.285714286,79
WT2,2018,0,79
WT2,2003,0,80
WT2,2004,0,80
WT2,2005,0.25,80
WT2,2006,0.8,80
WT2,2007,0,80
WT2,2008,0.2,80
WT2,2009,1.2,80
WT2,2010,0,80
WT2,2011,0,80
WT2,2012,0,80
WT2,2013,0.2,80
WT2,2014,0,80
WT2,2015,0,80
WT2,2016,1.25,80
WT2,2017,0.5,80
WT2,2018,0,80
WT2,2003,0,81
WT2,2004,0,81
WT2,2005,0,81
WT2,2006,0.142857143,81
WT2,2007,0.285714286,81
WT2,2008,1.428571429,81
WT2,2009,0.571428571,81
WT2,2010,0,81
WT2,2011,0,81
WT2,2012,0,81
WT2,2013,0,81
WT2,2014,0,81
WT2,2015,0,81
WT2,2016,0,81
WT2,2017,1.285714286,81
WT2,2018,0,81
WT2,2003,0.333333333,82
WT2,2004,0,82
WT2,2005,0,82
WT2,2006,1.8,82
WT2,2007,0,82
WT2,2008,0,82
WT2,2009,0.5,82
WT2,2010,0,82
WT2,2011,0,82
WT2,2012,0,82
WT2,2013,0,82
WT2,2014,0,82
WT2,2015,0,82
WT2,2016,0.8,82
WT2,2017,1.4,82
WT2,2018,0,82
WT2,2003,0,83
WT2,2004,0,83
WT2,2005,0,83
WT2,2006,0,83
WT2,2007,0.333333333,83
WT2,2008,1.333333333,83
WT2,2009,0,83
WT2,2010,0,83
WT2,2011,0,83
WT2,2012,0,83
WT2,2013,0,83
WT2,2014,0,83
WT2,2015,0,83
WT2,2016,0,83
WT2,2017,0,83
WT2,2018,0,83
WT2,2009,0.2,149
WT2,2010,0,149
WT2,2011,0,149
WT2,2012,0,149
WT2,2013,0,149
WT2,2014,0.166666667,149
WT2,2015,0,149
WT2,2016,1.166666667,149
WT2,2017,0.166666667,149
WT2,2018,0,149
WT2,2019,1.666666667,149
WT2,2020,0,149
WT2,2005,0,150
WT2,2006,0,150
WT2,2007,0.2,150
WT2,2008,1.2,150
WT2,2009,0.8,150
WT2,2010,0,150
WT2,2011,0,150
WT2,2012,0,150
WT2,2013,0,150
WT2,2014,0,150
WT2,2015,0,150
WT2,2016,0,150
WT2,2017,0,150
WT2,2018,0,150
WT2,2019,1.2,150
WT2,2020,0,150
WT2,2019,0.6,77
WT2,2019,1,78
WT2,2019,1.4,79
WT2,2019,1.2,80
WT2,2019,0,81
WT2,2019,1,82
WT2,2019,1.4,83
WT2,2020,0,77
WT2,2020,0,78
WT2,2020,0,79
WT2,2020,0,80
WT2,2020,0,81
WT2,2020,0,82
WT2,2020,0,83
