site,tree,Year,Area
BD,164,2018,0.008
BD,164,2018,0.04
BD,164,2018,0.04
BD,164,2018,0.04
BD,164,2018,0.04
BD,164,2018,0.047
BD,164,2018,0.057
BD,164,2019,0.013
BD,164,2019,0.016
BD,164,2019,0.021
BD,164,2019,0.025
BD,164,2019,0.026
BD,164,2019,0.027
BD,164,2019,0.038
BD,164,2020,0.016
BD,164,2020,0.017
BD,164,2020,0.02
BD,164,2020,0.021
BD,164,2020,0.023
BD,164,2020,0.055
BD,165,2000,0.013
BD,165,2000,0.016
BD,165,2000,0.023
BD,165,2000,0.032
BD,165,2001,0.008
BD,165,2001,0.011
BD,165,2001,0.014
BD,165,2002,0
BD,165,2003,0.007
BD,165,2003,0.018
BD,165,2003,0.018
BD,165,2003,0.018
BD,165,2003,0.018
BD,165,2003,0.02
BD,165,2003,0.02
BD,165,2003,0.02
BD,165,2003,0.02
BD,165,2003,0.03
BD,165,2003,0.033
BD,165,2004,0
BD,165,2005,0.022
BD,165,2006,0
BD,165,2007,0.022
BD,165,2007,0.022
BD,165,2007,0.022
BD,165,2007,0.022
BD,165,2007,0.026
BD,165,2007,0.026
BD,165,2007,0.026
BD,165,2007,0.026
BD,165,2008,0.019
BD,165,2008,0.021
BD,165,2008,0.025
BD,165,2008,0.03
BD,165,2008,0.033
BD,165,2009,0.029
BD,165,2010,0.012
BD,165,2010,0.018
BD,165,2011,0.012
BD,165,2011,0.012
BD,165,2011,0.012
BD,165,2011,0.012
BD,165,2011,0.015
BD,165,2011,0.018
BD,165,2012,0.008
BD,165,2012,0.012
BD,165,2012,0.016
BD,165,2012,0.017
BD,165,2012,0.019
BD,165,2013,0.008
BD,165,2013,0.009
BD,165,2013,0.017
BD,165,2013,0.017
BD,165,2013,0.017
BD,165,2013,0.017
BD,165,2013,0.019
BD,165,2014,0.011
BD,165,2014,0.012
BD,165,2014,0.014
BD,165,2014,0.017
BD,165,2014,0.021
BD,165,2014,0.021
BD,165,2014,0.021
BD,165,2014,0.021
BD,165,2014,0.022
BD,165,2015,0.015
BD,165,2015,0.016
BD,165,2015,0.02
BD,165,2016,0.016
BD,165,2017,0.02
BD,165,2018,0
BD,165,2019,0.012
BD,165,2019,0.015
BD,165,2019,0.025
BD,165,2019,0.03
BD,165,2020,0.009
BD,165,2020,0.013
BD,165,2020,0.013
BD,165,2020,0.013
BD,165,2020,0.013
BD,165,2020,0.017
BD,165,2020,0.017
BD,165,2020,0.017
BD,165,2020,0.017
BD,165,2020,0.021
BD,165,2020,0.027
BD,166,2000,0.009
BD,166,2000,0.024
BD,166,2000,0.026
BD,166,2000,0.027
BD,166,2000,0.035
BD,166,2000,0.036
BD,166,2000,0.039
BD,166,2000,0.04
BD,166,2000,0.088
BD,166,2001,0.025
BD,166,2001,0.027
BD,166,2001,0.039
BD,166,2002,0.024
BD,166,2002,0.033
BD,166,2003,0.02
BD,166,2003,0.021
BD,166,2003,0.024
BD,166,2003,0.031
BD,166,2003,0.047
BD,166,2004,0.018
BD,166,2004,0.021
BD,166,2004,0.022
BD,166,2004,0.024
BD,166,2004,0.028
BD,166,2004,0.029
BD,166,2004,0.03
BD,166,2004,0.037
BD,166,2004,0.041
BD,166,2005,0.02
BD,166,2005,0.03
BD,166,2005,0.036
BD,166,2005,0.037
BD,166,2005,0.038
BD,166,2005,0.042
BD,166,2005,0.045
BD,166,2006,0.022
BD,166,2006,0.022
BD,166,2006,0.022
BD,166,2006,0.022
BD,166,2006,0.028
BD,166,2006,0.028
BD,166,2006,0.028
BD,166,2006,0.028
BD,166,2006,0.03
BD,166,2006,0.032
BD,166,2007,0.019
BD,166,2007,0.022
BD,166,2007,0.024
BD,166,2007,0.034
BD,166,2008,0.021
BD,166,2008,0.024
BD,166,2008,0.028
BD,166,2008,0.029
BD,166,2008,0.035
BD,166,2009,0.012
BD,166,2009,0.017
BD,166,2009,0.03
BD,166,2009,0.035
BD,166,2009,0.043
BD,166,2009,0.057
BD,166,2010,0.019
BD,166,2010,0.019
BD,166,2010,0.019
BD,166,2010,0.019
BD,166,2010,0.024
BD,166,2010,0.026
BD,166,2010,0.026
BD,166,2010,0.026
BD,166,2010,0.026
BD,166,2010,0.027
BD,166,2010,0.03
